,accessRights,associatedReferences,basisOfRecord,bibliographicCitation,catalogNumber,class,classKey,collectionCode,collectionID,continent,coordinateUncertaintyInMeters,country,countryCode,county,crawlId,datasetKey,datasetName,dateIdentified,day,decimalLatitude,decimalLongitude,dynamicProperties,elevation,elevationAccuracy,endDayOfYear,epoch,eventDate,extensions,facts,family,familyKey,fieldNotes,gbifID,genericName,genus,genusKey,geodeticDatum,georeferenceProtocol,georeferenceRemarks,georeferenceSources,higherClassification,higherGeography,identifiedBy,identifier,identifiers,individualCount,infraspecificEpithet,institutionCode,institutionID,issues,key,kingdom,kingdomKey,language,lastCrawled,lastInterpreted,lastParsed,license,lifeStage,locality,locationAccordingTo,locationRemarks,media,modified,month,nomenclaturalCode,occurrenceID,occurrenceRemarks,order,orderKey,ownerInstitutionCode,parentNameUsage,phylum,phylumKey,preparations,previousIdentifications,protocol,publishingCountry,publishingOrgKey,recordedBy,references,relations,rightsHolder,samplingProtocol,scientificName,scientificNameID,sex,source,species,speciesKey,specificEpithet,startDayOfYear,stateProvince,taxonKey,taxonRank,taxonRemarks,type,typeStatus,verbatimEventDate,vernacularName,year
933,,,PRESERVED_SPECIMEN,,USNMENT1038808,Insecta,216,Entomology,,,89932.0,Canada,CA,[Not Stated],40,821cc27a-e3bb-4bc5-ac34-89ada245069d,NMNH Extant Biology,,27.0,69.0531,-138.778,,,,191,1909,1912-06-27T00:00:00.000+0000,{},[],Apidae,4334,,1319797654,Bombus,Bombus,1340278,WGS84,GEOLocate,,,"Animalia, Arthropoda, Insecta, Hymenoptera, Apidae, Apinae","Canada, Yukon Territory, [Not Stated]","Frison, T.",http://n2t.net/ark:/65665/372cededa-52e9-499a-963d-f88868f59102,[],1.0,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,[],1319797654,Animalia,1,,2018-03-05T17:56:13.965+0000,2018-03-05T17:56:14.035+0000,2018-03-05T17:56:13.969+0000,http://creativecommons.org/publicdomain/zero/1.0/legalcode,ADULT,Firth to Lat 69,,,"[{'creator': 'Pixel Acuity LLC', 'format': 'image/jpeg', 'source': 'Specimen from Department of Entomology, NMNH, Smithsonian Institution', 'identifier': 'http://collections.nmnh.si.edu/media/index.php?irn=10737878', 'type': 'StillImage', 'title': 'USNMENT01038808'}]",,6.0,,http://n2t.net/ark:/65665/372cededa-52e9-499a-963d-f88868f59102,Transcribed by digital volunteers Bremus sylvicola (Kirby),Hymenoptera,1457,,,Arthropoda,54,Pinned,,DWC_ARCHIVE,US,bc092ff0-02e4-11dc-991f-b8a03c50a862,J. Jessup,,[],,,"Bombus sylvicola Kirby, 1837",,,,Bombus sylvicola,1340525.0,sylvicola,179,Yukon Territory,1340525,SPECIES,,PhysicalObject,,June 27 July 9 1912,,1912
934,,,PRESERVED_SPECIMEN,,465484,Insecta,216,Bumblebee,,NORTH_AMERICA,,Canada,CA,,41,84750258-f762-11e1-a439-00145eb45e9a,,,20.0,45.4166,-75.7,,,,,1909,1912-08-20T00:00:00.000+0000,{},[],Apidae,4334,,239150085,Bombus,Bombus,1340278,WGS84,,,,,,,239150085,[],,,CNC,,['GEODETIC_DATUM_ASSUMED_WGS84'],239150085,Animalia,1,,2018-02-28T20:31:49.040+0000,2018-02-28T22:04:23.598+0000,2018-02-28T20:31:49.165+0000,http://creativecommons.org/licenses/by/4.0/legalcode,,Ottawa,,,,,8.0,,,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,CA,09871350-0a23-11d8-b854-b8a03c50a862,J.I.Beaulne,,[],,,"Bombus ternarius Say, 1837",,,,Bombus ternarius,1340516.0,ternarius,,Ontario,1340516,SPECIES,,,,,,1912
935,,,PRESERVED_SPECIMEN,,OSUC 122278,Insecta,216,Insects,,,,Canada,CA,,61,84ab7b76-f762-11e1-a439-00145eb45e9a,,1944-01-01T00:00:00.000+0000,11.0,49.9167,-116.9167,,,,,1909,1912-07-11T00:00:00.000+0000,{},[],Apidae,4334,"[R.C.Osburn Collector] [Kaslo, B.C. July 11, 1912] [Bombus frigidus (worker symbol) F. Smith Det.Frison,1944]",872715003,Bombus,Bombus,1340278,WGS84,,,CGNDB,,,Frison,urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__122278,[],1.0,,"C.A. Triplehorn Insect Collection, Ohio State University, Columbus, OH (OSUC)",,"['GEODETIC_DATUM_ASSUMED_WGS84', 'IDENTIFIED_DATE_UNLIKELY']",872715003,Animalia,1,en,2018-03-08T19:33:42.775+0000,2018-03-08T19:34:01.383+0000,2018-03-08T19:33:45.734+0000,http://creativecommons.org/licenses/by/4.0/legalcode,ADULT,"Kaslo, BC, Canada",,,,2015-02-09T15:41:19.000+0000,7.0,,urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__122278,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,US,5ffa575c-fcd4-4583-9611-545f67b04316,"Osburn, R. C. (Raymond Carroll)",,[],,none specified,"Bombus frigidus Smith, 1854",urn:lsid:biosci.ohio-state.edu:osuc_names:128373,FEMALE,http://hol.osu.edu/spmInfo.html?id=OSUC%20122278,Bombus frigidus,1340421.0,frigidus,,British Columbia,1340421,SPECIES,,,,11 July 1912,,1912
936,,,PRESERVED_SPECIMEN,,465497,Insecta,216,Bumblebee,,NORTH_AMERICA,,Canada,CA,,41,84750258-f762-11e1-a439-00145eb45e9a,,,5.0,45.4166,-75.7,,,,,1912,1912-10-05T00:00:00.000+0000,{},[],Apidae,4334,,239150098,Bombus,Bombus,1340278,WGS84,,,,,,,239150098,[],,,CNC,,['GEODETIC_DATUM_ASSUMED_WGS84'],239150098,Animalia,1,,2018-02-28T20:31:48.988+0000,2018-02-28T22:04:23.530+0000,2018-02-28T20:31:49.100+0000,http://creativecommons.org/licenses/by/4.0/legalcode,,Ottawa,,,,,10.0,,,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,CA,09871350-0a23-11d8-b854-b8a03c50a862,J.I.Beaulne,,[],,,"Bombus ternarius Say, 1837",,,,Bombus ternarius,1340516.0,ternarius,,Ontario,1340516,SPECIES,,,,,,1912
937,,,PRESERVED_SPECIMEN,,OSUC 123252,Insecta,216,Insects,,,,Canada,CA,,61,84ab7b76-f762-11e1-a439-00145eb45e9a,,2014-01-01T00:00:00.000+0000,11.0,49.9167,-116.9167,,,,,1909,1912-07-11T00:00:00.000+0000,{},[],Apidae,4334,"[R.C.Osburn Collector] [Kaslo, B.C. July11,1912]",872716364,Bombus,Bombus,1340278,WGS84,,,CGNDB,,,,urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__123252,[],1.0,,"C.A. Triplehorn Insect Collection, Ohio State University, Columbus, OH (OSUC)",,"['GEODETIC_DATUM_ASSUMED_WGS84', 'IDENTIFIED_DATE_UNLIKELY']",872716364,Animalia,1,en,2018-03-08T19:33:43.028+0000,2018-03-08T19:34:02.874+0000,2018-03-08T19:33:46.445+0000,http://creativecommons.org/licenses/by/4.0/legalcode,ADULT,"Kaslo, BC, Canada",,,,2015-02-09T15:41:20.000+0000,7.0,,urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__123252,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,US,5ffa575c-fcd4-4583-9611-545f67b04316,"Osburn, R. C. (Raymond Carroll)",,[],,none specified,"Bombus appositus Cresson, 1878",urn:lsid:biosci.ohio-state.edu:osuc_names:128341,,http://hol.osu.edu/spmInfo.html?id=OSUC%20123252,Bombus appositus,1340470.0,appositus,,British Columbia,1340470,SPECIES,,,,11 July 1912,,1912
938,,,PRESERVED_SPECIMEN,,465476,Insecta,216,Bumblebee,,NORTH_AMERICA,,Canada,CA,,41,84750258-f762-11e1-a439-00145eb45e9a,,,16.0,45.4166,-75.7,,,,,1912,1912-08-16T00:00:00.000+0000,{},[],Apidae,4334,,239150077,Bombus,Bombus,1340278,WGS84,,,,,,,239150077,[],,,CNC,,['GEODETIC_DATUM_ASSUMED_WGS84'],239150077,Animalia,1,,2018-02-28T20:31:48.987+0000,2018-02-28T22:04:23.476+0000,2018-02-28T20:31:49.050+0000,http://creativecommons.org/licenses/by/4.0/legalcode,,Ottawa,,,,,8.0,,,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,CA,09871350-0a23-11d8-b854-b8a03c50a862,J.I.Beaulne,,[],,,"Bombus ternarius Say, 1837",,,,Bombus ternarius,1340516.0,ternarius,,Ontario,1340516,SPECIES,,,,,,1912
939,,,PRESERVED_SPECIMEN,,OSUC 123251,Insecta,216,Insects,,,,Canada,CA,,61,84ab7b76-f762-11e1-a439-00145eb45e9a,,2014-01-01T00:00:00.000+0000,11.0,49.9167,-116.9167,,,,,1909,1912-07-11T00:00:00.000+0000,{},[],Apidae,4334,"[R.C.Osburn Collector] [Kaslo B.C. July11,1912]",872716339,Bombus,Bombus,1340278,WGS84,,,CGNDB,,,,urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__123251,[],1.0,,"C.A. Triplehorn Insect Collection, Ohio State University, Columbus, OH (OSUC)",,"['GEODETIC_DATUM_ASSUMED_WGS84', 'IDENTIFIED_DATE_UNLIKELY']",872716339,Animalia,1,en,2018-03-08T19:33:42.985+0000,2018-03-08T19:34:02.619+0000,2018-03-08T19:33:46.277+0000,http://creativecommons.org/licenses/by/4.0/legalcode,ADULT,"Kaslo, BC, Canada",,,,2015-02-09T15:41:20.000+0000,7.0,,urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__123251,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,US,5ffa575c-fcd4-4583-9611-545f67b04316,"Osburn, R. C. (Raymond Carroll)",,[],,none specified,"Bombus appositus Cresson, 1878",urn:lsid:biosci.ohio-state.edu:osuc_names:128341,,http://hol.osu.edu/spmInfo.html?id=OSUC%20123251,Bombus appositus,1340470.0,appositus,,British Columbia,1340470,SPECIES,,,,11 July 1912,,1912
940,,,PRESERVED_SPECIMEN,,452623,Insecta,216,Bumblebee,,NORTH_AMERICA,,Canada,CA,,41,84750258-f762-11e1-a439-00145eb45e9a,,,3.0,43.0,-81.433,,,,,1909,1912-08-03T00:00:00.000+0000,{},[],Apidae,4334,,42606750,Bombus,Bombus,1340278,WGS84,,,,,,,42606750,[],,,CNC,,['GEODETIC_DATUM_ASSUMED_WGS84'],42606750,Animalia,1,,2018-02-28T20:30:28.637+0000,2018-02-28T22:04:02.516+0000,2018-02-28T20:30:28.658+0000,http://creativecommons.org/licenses/by/4.0/legalcode,,Lobo,,,,,8.0,,,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,CA,09871350-0a23-11d8-b854-b8a03c50a862,A.A.Wood,,[],,,"Bombus impatiens Cresson, 1863",,,,Bombus impatiens,1340350.0,impatiens,,Ontario,1340350,SPECIES,,,,,,1912
941,,,PRESERVED_SPECIMEN,,OSUC 122868,Insecta,216,Insects,,,,Canada,CA,,61,84ab7b76-f762-11e1-a439-00145eb45e9a,,2001-01-01T00:00:00.000+0000,11.0,49.9167,-116.9167,,,,,1909,1912-07-11T00:00:00.000+0000,{},[],Apidae,4334,"[R.C.Osburn Collector] [Kaslo, B.C. July11,1912]",872715624,Bombus,Bombus,1340278,WGS84,,,CGNDB,,,,urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__122868,[],1.0,,"C.A. Triplehorn Insect Collection, Ohio State University, Columbus, OH (OSUC)",,"['GEODETIC_DATUM_ASSUMED_WGS84', 'IDENTIFIED_DATE_UNLIKELY']",872715624,Animalia,1,en,2018-03-08T19:33:42.907+0000,2018-03-08T19:34:02.400+0000,2018-03-08T19:33:46.257+0000,http://creativecommons.org/licenses/by/4.0/legalcode,ADULT,"Kaslo, BC, Canada",,,,2015-02-09T15:41:19.000+0000,7.0,,urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__122868,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,US,5ffa575c-fcd4-4583-9611-545f67b04316,"Osburn, R. C. (Raymond Carroll)",,[],,none specified,"Bombus melanopygus Nylander, 1848",urn:lsid:biosci.ohio-state.edu:osuc_names:128382,,http://hol.osu.edu/spmInfo.html?id=OSUC%20122868,Bombus melanopygus,1340518.0,melanopygus,,British Columbia,1340518,SPECIES,,,,11 July 1912,,1912
942,,,PRESERVED_SPECIMEN,,455004,Insecta,216,Bumblebee,,NORTH_AMERICA,,Canada,CA,,41,84750258-f762-11e1-a439-00145eb45e9a,,,3.0,45.417,-75.7,,,,,1912,1912-09-03T00:00:00.000+0000,{},[],Apidae,4334,,42599264,Bombus,Bombus,1340278,WGS84,,,,,,,42599264,[],,,CNC,,['GEODETIC_DATUM_ASSUMED_WGS84'],42599264,Animalia,1,,2018-02-28T20:30:13.390+0000,2018-02-28T22:03:59.065+0000,2018-02-28T20:30:13.396+0000,http://creativecommons.org/licenses/by/4.0/legalcode,,Ottawa,,,,,9.0,,,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,CA,09871350-0a23-11d8-b854-b8a03c50a862,Sladen,,[],,,"Bombus fervidus (Fabricius, 1798)",,,,Bombus fervidus,1340478.0,fervidus,,Ontario,1340478,SPECIES,,,,,,1912
